timestamp,sensorName,value
2022-11-14T21:56:12Z,sensor3,21838.4
2023-08-04T06:01:58Z,sensor1,64605.4
2022-12-19T23:36:42Z,sensor3,15439.62
2022-09-30T10:03:11Z,sensor4,55323.84
2023-07-04T23:01:51Z,sensor5,52999
2023-05-18T13:45:50Z,sensor2,5072.04
2023-03-04T06:57:16Z,sensor5,73026.29
2023-02-17T20:36:21Z,sensor1,8038.78
2023-06-19T02:58:26Z,sensor1,6370.94
2023-02-14T19:21:47Z,sensor5,8319.89
2023-02-03T23:41:35Z,sensor3,84969.69
2023-04-23T04:35:32Z,sensor3,327.16
2023-07-02T02:40:11Z,sensor1,4446.94
2022-10-05T13:13:07Z,sensor3,87031.82
2022-12-08T18:37:43Z,sensor3,7223.16
2022-12-09T05:13:28Z,sensor3,64188.29
2022-10-14T15:20:54Z,sensor4,55609.57
2022-12-29T10:04:21Z,sensor3,60654.25
2022-11-18T05:05:30Z,sensor3,58313.02
2022-10-17T01:27:53Z,sensor1,21621.04
2023-03-23T22:03:14Z,sensor4,90747.92
2023-04-21T22:33:38Z,sensor5,60661.49
2022-12-05T17:39:08Z,sensor1,60793.68
2023-09-07T12:54:17Z,sensor1,98692.42
2023-03-07T12:00:47Z,sensor2,14453.88
2023-07-11T18:51:25Z,sensor1,67349.29
2023-05-13T13:22:47Z,sensor5,6483.99
2022-10-16T14:53:11Z,sensor2,42388.22
2023-04-05T06:42:50Z,sensor2,20588.04
2023-04-16T23:05:56Z,sensor2,95102.23
2023-03-24T07:22:09Z,sensor2,49983.51
2023-08-31T02:04:35Z,sensor1,31209.62
2022-10-31T10:52:21Z,sensor2,22677.34
2022-10-07T08:11:57Z,sensor2,22013.08
2023-03-24T14:02:15Z,sensor2,45858.82
2023-05-11T21:01:51Z,sensor2,86698.87
2023-05-25T21:05:22Z,sensor5,73547.63
2023-02-13T19:12:09Z,sensor3,9223.74
2023-07-10T00:22:48Z,sensor4,93632.24
2023-04-06T16:42:03Z,sensor5,96635.01
2022-09-22T07:45:13Z,sensor3,46464.34
2023-03-09T14:39:30Z,sensor5,90595.91
2022-10-11T13:56:43Z,sensor5,10669.44
2022-12-25T16:51:29Z,sensor1,40890.28
2022-11-05T21:12:23Z,sensor4,53842.05
2023-04-15T20:43:59Z,sensor4,56552.18
2023-01-11T10:15:49Z,sensor1,40563.83
2023-07-02T16:33:25Z,sensor4,58361.96
2022-09-26T18:03:14Z,sensor2,14143.15
2022-10-14T09:13:23Z,sensor2,39937.17
2023-09-18T18:58:44Z,sensor3,16633.54
2022-12-22T00:37:27Z,sensor3,80102.34
2023-01-25T00:25:19Z,sensor3,43180.97
2023-02-27T04:30:45Z,sensor1,57551.69
2023-05-06T17:30:59Z,sensor1,78488.25
2023-09-20T17:30:48Z,sensor3,10074.38
2023-07-22T01:43:00Z,sensor4,50274.72
2022-10-29T04:02:07Z,sensor1,35373.31
2023-08-02T22:00:33Z,sensor2,60587.28
2022-10-16T04:02:55Z,sensor5,30724.98
2023-08-25T20:15:39Z,sensor4,90148.97
2023-02-06T04:27:35Z,sensor5,63746.13
2023-01-28T00:07:20Z,sensor5,49157.31
2023-07-23T05:47:17Z,sensor5,80580.98
2023-07-06T05:59:20Z,sensor4,22666.95
2023-06-26T00:33:47Z,sensor3,49403.1
2022-12-21T12:32:29Z,sensor3,92360.59
2023-09-12T17:08:02Z,sensor1,62399.69
2023-03-16T04:54:56Z,sensor3,70533.3
2022-09-29T19:26:37Z,sensor5,31555.18
2023-03-13T23:10:04Z,sensor5,37933.07
2023-09-01T12:18:08Z,sensor5,78388.39
2023-05-21T07:13:18Z,sensor1,61117.32
2023-06-27T02:40:16Z,sensor5,99253.99
2023-01-06T01:14:49Z,sensor4,22065.71
2022-10-20T20:57:51Z,sensor5,75313.81
2023-05-24T15:06:22Z,sensor5,52752.64
2023-06-28T22:17:57Z,sensor2,77618.68
2022-12-28T04:23:08Z,sensor3,75975.52
2022-12-07T05:00:48Z,sensor5,39944.08
2022-11-02T09:32:34Z,sensor1,22877.49
2023-07-30T08:04:50Z,sensor2,94187.28
2023-04-23T22:12:48Z,sensor1,2376.24
2022-11-25T02:15:30Z,sensor3,85660.73
2022-11-18T19:59:30Z,sensor5,64916.73
2022-12-04T15:40:35Z,sensor4,65122.7
2023-07-16T01:40:21Z,sensor1,79179.25
2023-01-08T16:45:14Z,sensor4,78597.57
2022-10-17T05:16:06Z,sensor4,58399.41
2023-07-05T13:58:13Z,sensor4,16857.81
2023-01-01T09:58:51Z,sensor4,36312.53
2022-11-26T20:10:00Z,sensor2,69119.02
2022-12-04T05:54:17Z,sensor5,30959.5
2022-10-11T21:14:30Z,sensor4,44660.96
2023-02-23T03:25:12Z,sensor5,59946.53
2023-06-21T07:28:57Z,sensor5,84912.3
2022-11-08T22:46:30Z,sensor2,58233.46
2023-01-28T18:39:44Z,sensor1,72440.58
2023-02-01T19:53:02Z,sensor5,60859.26
2023-07-17T13:32:10Z,sensor2,74836.75
2023-07-10T12:32:58Z,sensor2,70942.49
2023-09-02T17:04:13Z,sensor4,2038.75
2023-02-18T01:12:26Z,sensor3,87835.63
2023-04-18T15:24:08Z,sensor1,59213.63
2022-12-30T05:12:08Z,sensor5,35776.13
2022-10-30T16:31:59Z,sensor5,42109.85
2023-03-20T04:40:16Z,sensor2,66408.95
2023-08-23T15:29:19Z,sensor3,50537.29
2022-12-28T02:28:02Z,sensor3,68838.41
2023-07-07T08:26:41Z,sensor1,25728.14
2023-06-16T15:53:31Z,sensor4,31109.09
2023-03-03T09:35:13Z,sensor5,24527.78
2022-10-11T04:09:14Z,sensor2,5353.35
2023-01-08T04:51:19Z,sensor4,58509.63
2023-06-19T11:28:58Z,sensor1,67567.01
2022-11-30T10:01:04Z,sensor2,16897.87
2023-08-14T06:33:19Z,sensor2,15485.74
2023-04-18T10:46:32Z,sensor4,44672.06
2022-11-23T21:28:12Z,sensor1,24842.8
2023-03-17T07:50:25Z,sensor3,44973.88
2023-07-11T14:07:23Z,sensor4,80433.36
2023-01-04T12:07:48Z,sensor5,73568.3
2022-11-06T19:21:48Z,sensor3,22372.71
2023-08-03T01:05:25Z,sensor4,7504.06
2023-02-03T18:38:27Z,sensor1,35194.06
2022-09-23T16:27:34Z,sensor1,74816.13
2023-01-28T01:23:57Z,sensor2,54207.6
2023-09-18T08:36:27Z,sensor2,17590.48
2023-09-18T07:43:56Z,sensor4,76138.06
2023-07-11T07:37:51Z,sensor3,30462.24
2023-03-29T19:59:40Z,sensor4,11924.61
2023-07-14T16:29:29Z,sensor2,99712.63
2023-02-26T08:20:42Z,sensor3,72356.34
2023-02-15T23:20:48Z,sensor5,92051.5
2023-04-18T15:58:59Z,sensor3,89389.72
2022-10-06T16:51:38Z,sensor3,82260.63
2023-08-25T13:51:08Z,sensor4,14088.57
2023-06-28T22:21:57Z,sensor4,21644.17
2023-05-14T01:51:38Z,sensor4,71333.25
2022-12-04T03:43:32Z,sensor1,72980.99
2023-06-21T09:35:39Z,sensor4,41844.33
2022-12-30T21:25:33Z,sensor5,30282.05
2023-01-31T04:04:33Z,sensor3,67411.26
2023-07-03T20:54:31Z,sensor2,82260.95
2023-02-13T17:22:11Z,sensor3,95668.7
2023-04-07T14:22:01Z,sensor3,34931.87
2022-11-28T18:49:35Z,sensor2,71690.43
2022-11-24T14:33:39Z,sensor1,2810.88
2023-08-13T18:48:31Z,sensor2,84249.34
2022-09-21T18:05:00Z,sensor5,28469.69
2023-03-15T05:30:26Z,sensor3,56138.38
2023-07-15T23:06:49Z,sensor2,12990.99
2023-08-16T14:02:55Z,sensor2,24880.75
2023-04-19T10:59:48Z,sensor1,16357.87
2022-11-19T17:25:33Z,sensor4,85013.67
2023-01-29T18:17:45Z,sensor2,91007.92
2023-08-11T22:08:54Z,sensor3,53257.66
2023-07-28T23:12:13Z,sensor1,42903.13
2023-01-16T11:56:00Z,sensor3,61994.5
2023-01-11T02:15:14Z,sensor3,62689.63
2022-09-30T21:50:13Z,sensor5,51408.71
2023-02-12T21:35:45Z,sensor5,74182.34
2023-03-04T02:57:06Z,sensor3,97827.4
2023-07-11T13:17:03Z,sensor5,80578.81
2023-08-20T00:17:48Z,sensor5,5883.18
2023-02-20T11:37:32Z,sensor5,26310.14
2022-11-09T15:59:28Z,sensor1,19654.27
2023-08-01T01:25:02Z,sensor1,26747.68
2022-10-16T08:21:31Z,sensor2,51832.24
2023-07-16T20:46:14Z,sensor4,99575.14
2022-11-22T09:57:35Z,sensor4,28655.62
2023-04-19T23:45:26Z,sensor4,27004.16
2023-07-10T05:09:05Z,sensor5,53959.11
2023-06-07T12:54:55Z,sensor2,3770.68
2023-07-20T07:24:53Z,sensor5,59023.86
2023-05-29T06:04:27Z,sensor1,63672.16
2023-09-16T20:16:51Z,sensor1,13744.53
2023-08-11T02:01:10Z,sensor3,25642.31
2023-03-08T13:41:29Z,sensor4,92365.72
2022-10-15T11:18:53Z,sensor2,50614.79
2022-12-28T09:19:09Z,sensor3,95870.71
2023-01-19T11:01:09Z,sensor5,44319.74
2023-08-24T12:29:21Z,sensor3,92683.64
2023-01-26T19:29:28Z,sensor2,45780.36
2023-06-26T03:45:01Z,sensor3,34688.54
2023-08-21T03:45:06Z,sensor5,63935.54
2023-05-29T05:27:39Z,sensor1,13232.06
2022-12-10T00:39:54Z,sensor4,31574.59
2022-11-06T21:54:06Z,sensor4,17815.67
2023-01-21T18:36:14Z,sensor1,72139.74
2023-07-25T02:31:53Z,sensor5,14749.39
2023-04-15T14:30:23Z,sensor2,69845.38
2023-06-14T13:54:05Z,sensor4,51060.33
2023-08-08T20:01:55Z,sensor5,1280.58
2023-04-10T18:48:18Z,sensor2,42141.97
2022-12-19T22:43:52Z,sensor2,29171.93
2022-09-29T21:12:21Z,sensor2,43944.44
2023-05-26T19:09:44Z,sensor5,99172.77
2023-01-30T21:52:44Z,sensor4,30395.32
2022-10-06T20:12:10Z,sensor2,92015.73
2023-01-23T09:54:09Z,sensor1,29356.65
2023-04-01T07:48:52Z,sensor4,95179.38
2023-05-07T08:35:32Z,sensor1,19781.09
2023-02-26T21:34:52Z,sensor2,65515.09
2022-12-23T08:21:05Z,sensor2,1767.16
2023-06-12T11:05:53Z,sensor3,26735.31
2023-09-15T01:07:18Z,sensor4,17756.38
2023-09-13T03:45:27Z,sensor5,50020.03
2023-08-23T13:33:53Z,sensor5,24769.31
2023-08-20T04:41:18Z,sensor3,75092.17
2023-08-11T03:22:20Z,sensor1,21380.06
2023-08-08T03:12:03Z,sensor1,22456
2023-02-21T10:03:02Z,sensor3,35195.99
2022-10-08T21:02:02Z,sensor5,77732.25
2023-08-19T13:29:29Z,sensor5,91247.66
2023-04-17T06:13:29Z,sensor2,24048.59
2023-05-12T02:36:14Z,sensor3,62837.04
2023-04-20T18:34:42Z,sensor1,98607.97
2022-10-15T21:17:09Z,sensor1,80109.22
2023-08-12T10:50:14Z,sensor1,12463.76
2023-09-18T01:49:05Z,sensor1,13057.32
2022-11-18T06:33:56Z,sensor5,7895.96
2023-03-13T13:09:39Z,sensor1,80398.45
2023-03-20T16:40:29Z,sensor2,75140.43
2023-08-19T07:10:59Z,sensor2,43386.95
2022-11-02T02:48:46Z,sensor2,66770.56
2023-03-14T21:52:06Z,sensor3,23857.98
2023-06-10T00:32:26Z,sensor1,53818.97
2023-05-21T20:15:35Z,sensor5,33705.1
2022-11-07T09:22:57Z,sensor2,62911.05
2022-10-11T07:56:03Z,sensor2,89073.56
2023-07-06T17:26:47Z,sensor2,29585.72
2022-10-16T00:06:01Z,sensor2,52769.29
2023-03-05T10:50:31Z,sensor4,90580.46
2023-05-19T17:53:14Z,sensor1,72354.76
2023-03-10T06:54:04Z,sensor5,50390.34
2023-06-11T11:15:29Z,sensor4,23268.89
2022-11-22T08:29:02Z,sensor5,31592.24
2023-09-15T09:08:20Z,sensor4,77906.4
2023-05-23T06:57:52Z,sensor5,36213.06
